,actual precision (%),analytic (eV),iterations,numeric (eV),numeric precision (%),time (s)
0,0.20097045451004103,0.003482895235045536,104000,0.003489894825429516,0.009896835055445141,44.20033097267151
1,0.15840534707380893,0.013929748807032821,76000,0.013951814273977112,0.009481699063829119,57.90983724594116
2,0.12263165382973007,0.03133496174134402,48000,0.031373388323154346,0.008769752861359503,52.96355676651001
3,0.1108341668003554,0.05568892241580196,41000,0.05575064476896161,0.009869955576091716,57.379050731658936
4,0.09974475277205741,0.08697752813917127,31000,0.08706428365958094,0.00919085027311084,53.92856216430664
5,0.08634372196527629,0.1251814493546213,29000,0.12528953567720416,0.007456704719932539,61.31851387023926
6,0.08783959761695659,0.1702750200429861,23000,0.17042458893543405,0.009139646925337974,56.71899366378784
7,0.08329003964655524,0.22222458150475596,22000,0.22240967244679566,0.007594557384016376,60.431665897369385
8,0.0756901794105147,0.2809859764151545,19000,0.2811986552048215,0.006838627470850955,58.55865979194641
9,0.07466808921368084,0.34650064352883114,18000,0.3467593689384672,0.006869800571829288,63.228556871414185
10,0.07116085259579741,0.41868926580311155,16000,0.41898720865438416,0.006269215777654491,60.23342323303223
11,0.06912834907011334,0.4974408036180452,15000,0.4977846762331875,0.007496365425962992,62.565879106521606
12,0.06887914057593925,0.5825919700240016,13000,0.5829932543660186,0.009941296050919313,58.16761326789856
13,0.06059783348151271,0.6738842132489372,13000,0.67429257248234,0.007896060697942797,67.0158839225769
14,0.053951109245353734,0.7708569346125155,12000,0.7712728204794337,0.008039388702829608,66.88844919204712
15,0.052796218528583516,0.8724940853174477,12000,0.8729547292013808,0.00853201898588507,67.72618508338928
16,0.07634940705423254,0.9748707382187004,15000,0.9756150462468756,0.0084915176619349,86.5083692073822
